,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",2,0.0014134947956284671,26,9023
1,2233,Trimethylamine,54,Alistipes putredinis,2,0.03370797750083421,28,15122
2,2233,Trimethylamine,878,Prevotella salivae,2,0.0032415836807013765,56,15176
3,2127,L-Arginine (Arginine),126,Bacteroides fragilis,3,0.005291174106316743,69,23916
4,2213,Spermine,161,Blautia hansenii (Ruminococcus hansenii),3,0.008010164159098054,70,29762
5,2238,Urea,157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.014138572187713194,80,31415
6,2241,Xanthine,55,Alistipes shahii,3,0.002167006408868577,155,31611
7,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",966,Ruminococcus gnavus,2,0.008053062166272551,193,9063
8,2060,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",455,Eubacterium hallii,3,0.0005281585803413869,198,19623
9,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",161,Blautia hansenii (Ruminococcus hansenii),3,0.03521222252922285,201,24362
10,2122,Isovalerate (3-Methylbutanoic acid),55,Alistipes shahii,2,0.0008195112760276402,214,7707
11,2122,Isovalerate (3-Methylbutanoic acid),878,Prevotella salivae,3,0.020267100119957582,224,23672
12,2125,"L-Alanine (D-Alanine, Alanine)",54,Alistipes putredinis,3,0.006194238745054648,283,23762
13,2050,Choline,796,Odoribacter splanchnicus,3,0.002786779814111684,321,19130
14,2240,"Valerate (Pentanoic acid, Pentanoate)",551,Holdemania filiformis,3,0.0025468119750690077,343,31584
15,2122,Isovalerate (3-Methylbutanoic acid),126,Bacteroides fragilis,3,0.005479488317301717,456,23628
16,2122,Isovalerate (3-Methylbutanoic acid),135,Bacteroides uniformis,3,0.002382515813016628,497,23633
17,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",953,Roseburia inulinivorans,2,0.00118810480324405,499,8484
18,2060,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",870,Prevotella copri,3,0.003460805423001645,513,19639
19,2239,Uridine,137,Bacteroides xylanisolvens,3,0.005931152288404906,523,31482
20,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,2,0.0013241864705815232,526,7714
21,2198,Pimelate,969,Ruminococcus torques,3,0.0007295046622214363,531,28793
22,2061,D-Fructose (Fructose),969,Ruminococcus torques,2,0.0016048377548762982,548,3809
23,2201,Propanoate (Propionate),125,Bacteroides finegoldii (Alistipes finegoldii),2,0.0030202816007418587,552,12971
24,2175,"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)",157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.0035628640215018548,645,27239
25,2128,L-Asparagine (Asparagine),461,Eubacterium ventriosum,3,0.001739044339755469,688,24019
26,2116,Inosine,454,Eubacterium eligens,3,0.0009946951441055507,707,23222
27,2229,Thymine,455,Eubacterium hallii,3,0.0019383254518748894,784,30855
28,2240,"Valerate (Pentanoic acid, Pentanoate)",952,Roseburia intestinalis,3,0.0012727921091754135,888,31595
29,2081,Deoxycholic acid,952,Roseburia intestinalis,2,0.0012144463290562069,927,5243
30,2125,"L-Alanine (D-Alanine, Alanine)",125,Bacteroides finegoldii (Alistipes finegoldii),3,0.002471791692147618,944,23771
31,2122,Isovalerate (3-Methylbutanoic acid),457,Eubacterium rectale,3,5.002302692957983e-06,1083,23657
32,2151,"L-Serine (Serine, D-Serine)",135,Bacteroides uniformis,3,0.010911621871508626,1189,25649
33,2109,H2S (HS-),484,Fusobacterium varium,2,-0.0008082768262530626,1213,7029
34,2240,"Valerate (Pentanoic acid, Pentanoate)",968,Ruminococcus obeum,3,0.0003514813084848356,1406,31600
35,2037,Butylamine,137,Bacteroides xylanisolvens,2,0.003807005765249616,1441,2466
36,2237,Uracil,55,Alistipes shahii,3,0.0029180033883563494,1444,31323
37,2038,Butyrate,968,Ruminococcus obeum,2,0.0037620736495902474,1456,2584
38,2122,Isovalerate (3-Methylbutanoic acid),123,Bacteroides dorei,3,-0.00013647823353446498,1492,23625
39,2201,Propanoate (Propionate),159,Bilophila wadsworthia,3,0.0017603865473698743,1531,28897
40,2240,"Valerate (Pentanoic acid, Pentanoate)",54,Alistipes putredinis,2,2.0484043737112323e-05,1600,15626
41,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",133,Bacteroides stercoris,2,0.001576099127584496,1633,9015
42,2238,Urea,126,Bacteroides fragilis,3,0.0001622520490651702,1898,31404
