,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2068,D-Glucose (Glucose),878,Prevotella salivae,2,0.008048266810128824,0,4304
1,2081,Deoxycholic acid,54,Alistipes putredinis,2,0.036727528267340825,5,5186
2,2094,FOS (Fructooligosaccharide),966,Ruminococcus gnavus,2,0.0010816013989234374,7,6111
3,2198,Pimelate,76,Anaerotruncus colihominis,3,-3.92996724274397e-06,13,28733
4,2122,Isovalerate (3-Methylbutanoic acid),339,Coprococcus eutactus,3,0.0036935085611304874,31,23650
5,2122,Isovalerate (3-Methylbutanoic acid),457,Eubacterium rectale,2,0.0019835634798732737,34,7745
6,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",152,Bifidobacterium bifidum,2,0.0041238859372988435,36,8445
7,2193,Pentanol,161,Blautia hansenii (Ruminococcus hansenii),3,0.003275917303870557,37,28394
8,2240,"Valerate (Pentanoic acid, Pentanoate)",129,Bacteroides ovatus,3,0.004943375464772526,40,31549
9,2120,Isomaltose,608,Lactococcus lactis,3,-4.279895237391251e-05,49,23521
10,2011,4-Aminobutyrate (GABA),964,Ruminococcus bromii,3,0.002013977051788851,69,16693
11,2214,Stachyose,126,Bacteroides fragilis,3,0.0002026559648667936,70,29820
12,2161,Maltose,124,Bacteroides eggerthii,3,0.0003030089936537639,72,26362
13,2011,4-Aminobutyrate (GABA),425,Eggerthella lenta,2,0.0018720588116802883,73,757
14,2161,Maltose,55,Alistipes shahii,2,-0.0001922164016711081,76,10443
15,2122,Isovalerate (3-Methylbutanoic acid),461,Eubacterium ventriosum,3,0.0015129065101737726,79,23659
16,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",2,0.012659474430144924,80,8447
17,2122,Isovalerate (3-Methylbutanoic acid),158,Bifidobacterium pseudocatenulatum,3,-0.0003661541607583585,83,23640
18,2238,Urea,158,Bifidobacterium pseudocatenulatum,3,0.0009433509402425599,93,31416
19,2089,Ethanol,457,Eubacterium rectale,2,0.005957551251734694,112,5729
20,2236,Tyramine,551,Holdemania filiformis,2,4.4796868018726066e-05,113,15384
21,2217,Succinate,804,Oxalobacter formigenes,2,-4.915163217455998e-05,114,14091
22,2201,Propanoate (Propionate),420,Dorea formicigenerans,2,0.016283070513210096,127,12996
23,2115,Indole-3-acetate (Indoleacetate),152,Bifidobacterium bifidum,3,0.0007668052832974226,137,23133
24,2240,"Valerate (Pentanoic acid, Pentanoate)",796,Odoribacter splanchnicus,2,0.003840270182087435,151,15674
25,2172,N-Acetyl-D-Glucosamine (N-Acetylglucosamine),455,Eubacterium hallii,3,0.0017862419554527387,153,27039
26,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",484,Fusobacterium varium,2,-4.482747535972109e-05,167,9045
27,2122,Isovalerate (3-Methylbutanoic acid),952,Roseburia intestinalis,3,0.013068139300175585,175,23675
28,2122,Isovalerate (3-Methylbutanoic acid),135,Bacteroides uniformis,3,0.01201684268834502,188,23633
29,2122,Isovalerate (3-Methylbutanoic acid),157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.0007251157203743697,195,23639
30,2178,"NH3 (Ammonia, NH4+, Ammonium)",161,Blautia hansenii (Ruminococcus hansenii),3,0.0032496422208783127,207,27386
31,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",131,Bacteroides plebeius,2,0.00043828290520431246,227,8438
32,2229,Thymine,137,Bacteroides xylanisolvens,3,0.014116786203263065,254,30834
33,2101,Glycodeoxycholate,338,Coprococcus comes,3,-2.7462109104536836e-05,277,22353
34,2203,Putrescine,119,Bacteroides caccae,3,0.00048819713945913445,293,29022
35,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,3,1.8699957573753423e-05,294,23626
36,2237,Uracil,152,Bifidobacterium bifidum,3,0.002717447552631702,311,31341
37,2011,4-Aminobutyrate (GABA),46,Akkermansia muciniphila,2,-0.00015229111952763663,320,721
38,2238,Urea,124,Bacteroides eggerthii,3,0.01131854711789626,333,31402
39,2011,4-Aminobutyrate (GABA),968,Ruminococcus obeum,2,0.0019293370272451815,339,784
40,2185,Orotic acid (Orotate),796,Odoribacter splanchnicus,3,0.005879845397997907,359,27914
41,2098,Glycerol,260,Catenibacterium mitsuokai,3,8.571878253393894e-05,363,22131
42,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",1099,Sutterella wadsworthensis,2,-0.0009610211050231632,395,8495
43,2135,L-Glycine (Glycine),420,Dorea formicigenerans,3,0.01340365157793122,401,24516
44,2085,Dimethylamine,339,Coprococcus eutactus,2,0.0016391878173143137,408,5506
45,2067,D-Glucosamine (Glucosamine),152,Bifidobacterium bifidum,3,0.0007229299392315092,411,20109
46,2041,Caproate (Hexanoate),46,Akkermansia muciniphila,3,0.000658526394119785,448,18577
47,2109,H2S (HS-),454,Eubacterium eligens,2,-4.5495214743618284e-05,491,7022
48,2122,Isovalerate (3-Methylbutanoic acid),878,Prevotella salivae,2,-0.0006043572269528452,521,7760
49,2179,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",122,Bacteroides coprophilus,3,-0.0004806146369560338,525,27440
50,2122,Isovalerate (3-Methylbutanoic acid),122,Bacteroides coprophilus,3,-0.00036687518206890424,527,23624
51,2058,Cytidine,314,Clostridium leptum,3,0.0004131494821448811,538,19469
52,2122,Isovalerate (3-Methylbutanoic acid),133,Bacteroides stercoris,3,-0.00020043833036875736,562,23631
53,2019,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])",878,Prevotella salivae,2,-0.0007100431934905505,568,1352
54,2012,5-Aminovalerate,952,Roseburia intestinalis,3,0.00038890243890621345,586,16763
55,2071,D-Mannitol (Mannitol),329,Collinsella aerofaciens (Eubacterium aerofaciens),3,7.078381570502223e-05,591,20408
56,2238,Urea,425,Eggerthella lenta,3,-8.150342284962697e-05,607,31429
57,2158,Linoleic acid (Omega-6 fatty acid),159,Bilophila wadsworthia,3,0.0008534469898759944,670,26161
58,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",260,Catenibacterium mitsuokai,2,0.0013059050520155546,680,9027
59,2240,"Valerate (Pentanoic acid, Pentanoate)",260,Catenibacterium mitsuokai,3,0.0048489548197698795,713,31563
60,2049,Cholic acid (Cholate),149,Bifidobacterium adolescentis,2,0.0007063928406199071,729,3115
61,2010,"4-Aminobenzoate (para-amino, Benzoic acid)",137,Bacteroides xylanisolvens,3,0.00015361195518237558,737,16578
62,2114,Indole,969,Ruminococcus torques,2,0.000609639018582353,748,7193
63,2090,Ethanolamine (Phosphatidylethanolamine),149,Bifidobacterium adolescentis,3,-0.000984977330152903,789,21691
64,2011,4-Aminobutyrate (GABA),125,Bacteroides finegoldii (Alistipes finegoldii),3,0.00037996054247191324,810,16643
65,2125,"L-Alanine (D-Alanine, Alanine)",159,Bilophila wadsworthia,3,0.00033769725323673505,811,23785
66,2049,Cholic acid (Cholate),1007,Shigella sonnei,3,-0.00026562424766196635,812,19074
