,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2014,Acetate,54,Alistipes putredinis,2,0.01844985176096492,2,938
1,2203,Putrescine,122,Bacteroides coprophilus,3,-1.527105647491922e-07,37,29024
2,2203,Putrescine,1099,Sutterella wadsworthensis,2,-0.0005902793933774131,40,13175
3,2136,L-Histidine (Histidine),952,Roseburia intestinalis,3,0.002136471031687459,46,24611
4,2094,FOS (Fructooligosaccharide),966,Ruminococcus gnavus,2,0.001693631187724809,48,6111
5,2155,L-Tyrosine (Tyrosine),55,Alistipes shahii,3,-0.0001754641216538122,56,25923
6,2044,"Cellotetraose (Cellohexaose, Cellopentaose, Cellotriose)",878,Prevotella salivae,2,-4.1470666307552584e-05,69,2936
7,2034,"Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)",149,Bifidobacterium adolescentis,3,7.131571626972644e-05,72,18163
8,2125,"L-Alanine (D-Alanine, Alanine)",161,Blautia hansenii (Ruminococcus hansenii),3,0.025487051585252662,76,23786
9,2122,Isovalerate (3-Methylbutanoic acid),456,Eubacterium limosum,3,0.0027385793568461825,78,23656
10,2223,Taurocholate,952,Roseburia intestinalis,3,0.019513549810760145,92,30443
11,2151,"L-Serine (Serine, D-Serine)",123,Bacteroides dorei,3,0.01068575658036719,101,25641
12,2238,Urea,125,Bacteroides finegoldii (Alistipes finegoldii),3,0.004838378732602844,102,31403
13,2122,Isovalerate (3-Methylbutanoic acid),608,Lactococcus lactis,3,0.00020244971025218383,103,23665
14,2004,"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)",54,Alistipes putredinis,2,4.681770653647277e-05,110,218
15,2233,Trimethylamine,125,Bacteroides finegoldii (Alistipes finegoldii),2,0.0025166813225616647,123,15131
16,2122,Isovalerate (3-Methylbutanoic acid),149,Bifidobacterium adolescentis,3,0.0023171231342661303,127,23635
17,2233,Trimethylamine,420,Dorea formicigenerans,2,0.0015527142005795636,131,15156
18,2217,Succinate,796,Odoribacter splanchnicus,2,0.02533622466773966,132,14090
19,2122,Isovalerate (3-Methylbutanoic acid),878,Prevotella salivae,2,0.0014349163757382266,134,7760
20,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",133,Bacteroides stercoris,3,0.004132504792086489,137,24351
21,2093,Formate,119,Bacteroides caccae,2,0.0044202592523489015,173,5982
22,2094,FOS (Fructooligosaccharide),55,Alistipes shahii,2,6.182511820829184e-06,178,6051
23,2122,Isovalerate (3-Methylbutanoic acid),126,Bacteroides fragilis,3,0.008721979570104121,182,23628
24,2190,"Pantothenic acid (Vitamin B5, Pantothenate)",457,Eubacterium rectale,3,0.0027305024864334726,183,28265
25,2233,Trimethylamine,1099,Sutterella wadsworthensis,2,4.784456286599514e-06,184,15191
26,2136,L-Histidine (Histidine),157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",2,8.659188596593648e-05,205,8663
27,2120,Isomaltose,133,Bacteroides stercoris,3,0.008585831679461253,207,23487
28,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",952,Roseburia intestinalis,3,0.008810204979554204,217,24395
29,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",133,Bacteroides stercoris,2,0.01989744174465491,220,9015
30,2122,Isovalerate (3-Methylbutanoic acid),126,Bacteroides fragilis,2,0.004463432780074772,223,7716
31,2193,Pentanol,159,Bilophila wadsworthia,3,0.00038158313033431757,231,28393
32,2122,Isovalerate (3-Methylbutanoic acid),1052,Streptococcus gallolyticus,3,0.0009247696051054577,233,23683
33,2225,Taurolithocholate,457,Eubacterium rectale,3,0.01134749436271365,251,30569
34,2081,Deoxycholic acid,54,Alistipes putredinis,2,0.00026915468089760974,252,5186
35,2038,Butyrate,551,Holdemania filiformis,2,0.00018951365461006286,257,2568
36,2160,Malonate,55,Alistipes shahii,3,0.0012671967474144896,262,26283
37,2143,"L-Lysine (Lysine, D-Lysine)",551,Holdemania filiformis,3,0.011603668279526635,267,25104
38,2149,"L-Rhamnose (Rhamnose, D-Rhamnose)",135,Bacteroides uniformis,2,-0.0006975119924861328,274,9593
39,2081,Deoxycholic acid,119,Bacteroides caccae,3,0.0001024156126054887,289,21102
40,2238,Urea,124,Bacteroides eggerthii,3,0.0068734865270130285,338,31402
41,2240,"Valerate (Pentanoic acid, Pentanoate)",158,Bifidobacterium pseudocatenulatum,3,0.005972380719615922,379,31560
42,2119,Isobutyrate (2-Methylpropanoic acid),870,Prevotella copri,3,0.0021148279133460512,384,23455
43,2070,D-Lyxose (L-Lyxose),54,Alistipes putredinis,3,0.0021702424832886757,396,20306
