,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2195,Phenylacetate,401,Desulfovibrio piger,3,-6.167772503840041e-08,6,28547
1,2166,Methanol,149,Bifidobacterium adolescentis,2,0.003546147704939884,7,10819
2,2135,L-Glycine (Glycine),329,Collinsella aerofaciens (Eubacterium aerofaciens),3,0.001174702839258801,8,24512
3,2069,D-Glucuronic acid (D-Glucuronate),134,Bacteroides thetaiotaomicron,3,0.0019719362347234703,16,20248
4,2131,"L-Cysteine (Cysteine, D-Cysteine)",260,Catenibacterium mitsuokai,3,0.00030008374776524516,28,24219
5,2120,Isomaltose,338,Coprococcus comes,3,0.0010712862389673503,38,23505
6,2145,L-Methionine (D-Methionine),126,Bacteroides fragilis,3,0.003976964854029985,39,25212
7,2049,Cholic acid (Cholate),123,Bacteroides dorei,3,0.013877300482054931,40,19017
8,2041,Caproate (Hexanoate),125,Bacteroides finegoldii (Alistipes finegoldii),3,-1.5395092678449634e-07,54,18587
9,2237,Uracil,149,Bifidobacterium adolescentis,3,0.0061147923579091285,69,31339
10,2050,Choline,157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.0027626107875997623,75,19103
11,2226,"Thiamine (Vitamin B1, Thiamin)",420,Dorea formicigenerans,3,0.0008873885945881457,78,30636
12,2062,D-Fructuronate,159,Bilophila wadsworthia,3,0.0011624447241868065,86,19753
13,2011,4-Aminobutyrate (GABA),129,Bacteroides ovatus,3,0.009532988365910877,89,16645
14,2006,2-Aminobutyric acid (2-Aminobutyrate),55,Alistipes shahii,3,0.0075314286780922,95,16275
15,2055,CO2,796,Odoribacter splanchnicus,2,0.004907904376728832,96,3434
16,2028,"Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)",161,Blautia hansenii (Ruminococcus hansenii),3,0.0022815364831965113,104,17738
17,2093,Formate,461,Eubacterium ventriosum,2,0.0012804070292000702,114,6019
18,2241,Xanthine,454,Eubacterium eligens,3,0.007977602483522528,117,31646
19,2226,"Thiamine (Vitamin B1, Thiamin)",119,Bacteroides caccae,3,0.0020050343254800485,127,30606
20,2136,L-Histidine (Histidine),339,Coprococcus eutactus,3,0.002109852350621888,135,24586
21,2217,Succinate,1064,Streptococcus salivarius,2,0.00742564563854009,157,14109
22,2038,Butyrate,9,Acidaminococcus fermentans,2,-2.677568694919863e-05,161,2520
23,2159,Lithocholic acid,454,Eubacterium eligens,2,0.003631646618324158,162,10334
24,2012,5-Aminovalerate,126,Bacteroides fragilis,3,0.006990059541617133,178,16716
25,2146,L-Ornithine (Ornithine),454,Eubacterium eligens,3,0.01068764467689054,246,25310
26,2063,D-Galactosamine (Galactosamine),339,Coprococcus eutactus,3,0.0014238256114479375,258,19834
27,2115,Indole-3-acetate (Indoleacetate),134,Bacteroides thetaiotaomicron,3,0.002521270085875993,263,23128
28,2240,"Valerate (Pentanoic acid, Pentanoate)",121,Bacteroides coprocola,3,0.0019450373003397914,268,31543
29,2143,"L-Lysine (Lysine, D-Lysine)",1064,Streptococcus salivarius,3,0.023863336736894114,315,25125
30,2190,"Pantothenic acid (Vitamin B5, Pantothenate)",119,Bacteroides caccae,3,0.002820591280524698,320,28230
31,2185,Orotic acid (Orotate),969,Ruminococcus torques,3,0.0001335717127606273,322,27929
32,2155,L-Tyrosine (Tyrosine),126,Bacteroides fragilis,3,0.008971855966919295,325,25932
33,2128,L-Asparagine (Asparagine),134,Bacteroides thetaiotaomicron,3,0.00663906279413562,333,23992
34,2020,Adipate,796,Odoribacter splanchnicus,3,0.003350933380466992,334,17330
35,2055,CO2,969,Ruminococcus torques,2,0.00015043098828326773,338,3449
36,2142,L-Leucine (Leucine),461,Eubacterium ventriosum,3,0.0007378261201308468,383,25027
37,2093,Formate,314,Clostridium leptum,2,9.309189938466744e-05,401,6005
38,2185,Orotic acid (Orotate),119,Bacteroides caccae,2,0.000803516887400324,404,11958
39,2176,N2,159,Bilophila wadsworthia,3,0.00014008661956266266,412,27313
40,2065,D-Galacturonate,338,Coprococcus comes,3,-0.0004378486688468852,422,19977
41,2238,Urea,119,Bacteroides caccae,3,0.003806564390059775,425,31398
42,2030,Benzoate,55,Alistipes shahii,3,-0.001260895464840317,430,17859
43,2038,Butyrate,329,Collinsella aerofaciens (Eubacterium aerofaciens),2,0.0074313236688853266,432,2552
44,2055,CO2,54,Alistipes putredinis,2,0.001944564271762705,441,3386
45,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",133,Bacteroides stercoris,3,0.002851317591123559,535,24351
46,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",121,Bacteroides coprocola,2,-4.790916675800894e-05,544,9007
47,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",454,Eubacterium eligens,2,0.0028177237481625816,547,8462
48,2028,"Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)",75,Anaerostipes caccae,2,0.0009389140531382844,613,1804
49,2061,D-Fructose (Fructose),129,Bacteroides ovatus,3,0.000562466751490409,636,19669
50,2186,Oxalate,460,Eubacterium siraeum,2,-0.0010000000000000009,651,12066
51,2229,Thymine,157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.0030189816899222066,663,30839
52,2178,"NH3 (Ammonia, NH4+, Ammonium)",123,Bacteroides dorei,3,0.0003453944605736892,745,27369
53,2222,Taurochenodeoxycholate,260,Catenibacterium mitsuokai,3,-0.0010981029532699527,748,30339
54,2093,Formate,338,Coprococcus comes,2,0.0011106805500068484,768,6009
55,2229,Thymine,55,Alistipes shahii,2,0.000597224589767964,784,14907
56,2089,Ethanol,455,Eubacterium hallii,2,0.0011108293637135393,790,5727
57,2099,Glycochenodeoxycholate,551,Holdemania filiformis,3,0.00013503018790417262,791,22224
58,2196,Phenylethylamine,55,Alistipes shahii,2,-0.00025359245828715515,806,12675
59,2035,Biotin (Vitamin B7),401,Desulfovibrio piger,3,0.0024629625105887514,811,18251
60,2161,Maltose,131,Bacteroides plebeius,2,-0.0003324154827590853,836,10454
61,2032,beta-alanine (3-Aminopropionate),76,Anaerotruncus colihominis,3,-7.004487522821456e-05,844,18005
62,2156,"L-Valine (Valine, D-Valine)",126,Bacteroides fragilis,3,0.00309960233862272,924,26004
63,2182,Nitrite,75,Anaerostipes caccae,2,-0.001000000000000112,945,11740
64,2209,Ribitol,123,Bacteroides dorei,3,-0.0006775705848927058,965,29457
65,2151,"L-Serine (Serine, D-Serine)",461,Eubacterium ventriosum,3,0.0020724908287272914,971,25675
66,2129,"L-Aspartate (Aspartate, D-Aspartate)",338,Coprococcus comes,3,0.007949686825931446,982,24081
