,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2134,"L-Glutamine (D-Glutamine, Glutamine)",152,Bifidobacterium bifidum,2,0.005249144615839585,1,8517
1,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",454,Eubacterium eligens,3,0.00019208382767099685,6,24374
2,2122,Isovalerate (3-Methylbutanoic acid),157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",2,0.004531244337319107,9,7727
3,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",455,Eubacterium hallii,3,0.025588736870283846,22,24375
4,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",309,Clostridium difficile,2,0.00042155206764216135,23,9028
5,2204,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",796,Odoribacter splanchnicus,2,0.0031629253471942014,27,13226
6,2238,Urea,133,Bacteroides stercoris,3,0.01887975055158464,34,31407
7,2212,Spermidine,457,Eubacterium rectale,2,0.0008044029846377978,35,13793
8,2203,Putrescine,134,Bacteroides thetaiotaomicron,2,0.007748404647467844,40,13120
9,2233,Trimethylamine,75,Anaerostipes caccae,2,0.0013635174242950794,44,15124
10,2122,Isovalerate (3-Methylbutanoic acid),339,Coprococcus eutactus,3,0.007174343407109873,53,23650
11,2203,Putrescine,461,Eubacterium ventriosum,3,0.0007464417691035452,55,29059
12,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",159,Bilophila wadsworthia,3,0.014249091049434282,63,24361
13,2238,Urea,125,Bacteroides finegoldii (Alistipes finegoldii),3,0.0016222546341666533,65,31403
14,2006,2-Aminobutyric acid (2-Aminobutyrate),55,Alistipes shahii,3,0.006802881482086853,69,16275
15,2240,"Valerate (Pentanoic acid, Pentanoate)",137,Bacteroides xylanisolvens,3,0.007057381281074916,71,31554
16,2238,Urea,796,Odoribacter splanchnicus,2,0.0006516234475962834,74,15530
17,2038,Butyrate,159,Bilophila wadsworthia,3,0.003997132010855609,80,18457
18,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",137,Bacteroides xylanisolvens,2,0.0006021231873135635,87,9018
19,2226,"Thiamine (Vitamin B1, Thiamin)",149,Bifidobacterium adolescentis,3,0.0004990049549312703,94,30619
20,2233,Trimethylamine,457,Eubacterium rectale,2,0.004054939028661607,108,15161
21,2081,Deoxycholic acid,159,Bilophila wadsworthia,2,0.00147623591551993,110,5209
22,2240,"Valerate (Pentanoic acid, Pentanoate)",952,Roseburia intestinalis,3,0.005599167068505051,116,31595
23,2240,"Valerate (Pentanoic acid, Pentanoate)",464,Faecalibacterium prausnitzii,2,0.0005366758495825018,117,15668
24,2099,Glycochenodeoxycholate,9,Acidaminococcus fermentans,3,-0.0001141967492538365,120,22176
25,2236,Tyramine,55,Alistipes shahii,2,-0.00012058871168973972,122,15339
26,2011,4-Aminobutyrate (GABA),126,Bacteroides fragilis,2,0.0002179807243736232,137,732
27,2038,Butyrate,968,Ruminococcus obeum,2,0.002412162539410012,139,2584
28,2122,Isovalerate (3-Methylbutanoic acid),131,Bacteroides plebeius,3,0.02822033489631215,144,23630
29,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",457,Eubacterium rectale,2,-0.00011606383825479849,148,8465
30,2233,Trimethylamine,134,Bacteroides thetaiotaomicron,2,0.0043296463971849155,154,15136
31,2203,Putrescine,338,Coprococcus comes,2,-7.470536412701455e-06,161,13137
32,2203,Putrescine,460,Eubacterium siraeum,3,0.0013784300818139306,165,29058
33,2122,Isovalerate (3-Methylbutanoic acid),457,Eubacterium rectale,3,0.03966746941369737,176,23657
34,2122,Isovalerate (3-Methylbutanoic acid),420,Dorea formicigenerans,2,0.0010805561352426052,180,7740
35,2011,4-Aminobutyrate (GABA),152,Bifidobacterium bifidum,3,0.0013103855584712942,188,16653
36,2125,"L-Alanine (D-Alanine, Alanine)",551,Holdemania filiformis,3,0.0001474737755754463,191,23808
37,2240,"Valerate (Pentanoic acid, Pentanoate)",966,Ruminococcus gnavus,2,0.001482920828537293,203,15687
38,2011,4-Aminobutyrate (GABA),55,Alistipes shahii,2,0.0006166476083218075,211,723
39,2011,4-Aminobutyrate (GABA),260,Catenibacterium mitsuokai,2,0.00011381651922393045,221,747
40,2125,"L-Alanine (D-Alanine, Alanine)",952,Roseburia intestinalis,3,0.0012826051670842276,232,23819
41,2011,4-Aminobutyrate (GABA),454,Eubacterium eligens,3,0.0034001068377146337,236,16670
42,2233,Trimethylamine,54,Alistipes putredinis,2,-0.0005467333266050423,256,15122
43,2122,Isovalerate (3-Methylbutanoic acid),968,Ruminococcus obeum,2,0.0006171466329180086,269,7768
44,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",952,Roseburia intestinalis,2,0.0005042525355392068,283,8483
45,2238,Urea,969,Ruminococcus torques,2,-0.00030926786878004986,322,15545
46,2217,Succinate,513,Haemophilus parainfluenzae,2,0.00041930332025863487,323,14087
47,2240,"Valerate (Pentanoic acid, Pentanoate)",131,Bacteroides plebeius,3,-2.1556240360154355e-05,335,31550
48,2081,Deoxycholic acid,796,Odoribacter splanchnicus,2,0.0006141376753218131,359,5234
49,2125,"L-Alanine (D-Alanine, Alanine)",131,Bacteroides plebeius,2,0.002580099487007548,397,7862
50,2238,Urea,129,Bacteroides ovatus,3,0.00021616512255739906,441,31405
51,2038,Butyrate,964,Ruminococcus bromii,3,-0.0005433693535703553,442,18493
52,2217,Succinate,1064,Streptococcus salivarius,2,0.0009928773073843988,447,14109
53,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",326,Clostridium symbiosum,3,-0.0009991984088798533,454,24943
54,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",454,Eubacterium eligens,2,0.000660662423724645,496,8462
55,2201,Propanoate (Propionate),464,Faecalibacterium prausnitzii,2,0.0021995985788091366,500,13004
56,2125,"L-Alanine (D-Alanine, Alanine)",161,Blautia hansenii (Ruminococcus hansenii),3,0.009570892562887123,515,23786
57,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",123,Bacteroides dorei,3,0.002503265919952757,532,24345
58,2049,Cholic acid (Cholate),969,Ruminococcus torques,2,9.432689176602782e-05,539,3161
59,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",123,Bacteroides dorei,2,0.0017030516828526745,543,9009
60,2011,4-Aminobutyrate (GABA),1007,Shigella sonnei,3,0.0016490520958447608,562,16698
61,2240,"Valerate (Pentanoic acid, Pentanoate)",968,Ruminococcus obeum,3,0.0012359990570387502,576,31600
62,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",796,Odoribacter splanchnicus,3,-0.0009285216513050807,611,24386
63,2081,Deoxycholic acid,158,Bifidobacterium pseudocatenulatum,3,0.0005095466904558865,614,21120
64,2012,5-Aminovalerate,129,Bacteroides ovatus,2,-0.0010491637458234226,625,805
65,2226,"Thiamine (Vitamin B1, Thiamin)",260,Catenibacterium mitsuokai,3,5.6893477433650474e-06,636,30627
66,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",878,Prevotella salivae,2,0.0038247059400258188,644,8480
67,2049,Cholic acid (Cholate),964,Ruminococcus bromii,3,0.004005326562104282,664,19069
68,2240,"Valerate (Pentanoic acid, Pentanoate)",878,Prevotella salivae,2,-3.552925400840401e-05,675,15680
69,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",135,Bacteroides uniformis,2,0.00010296210517690696,681,8441
70,2134,"L-Glutamine (D-Glutamine, Glutamine)",878,Prevotella salivae,2,0.0008279688657377715,696,8552
71,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",338,Coprococcus comes,2,0.00010837737070246156,701,8457
72,2240,"Valerate (Pentanoic acid, Pentanoate)",895,Pseudoflavonifractor capillosus,3,-0.00099999999999989,705,31594
73,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,3,-0.00021445092028016247,710,23626
74,2122,Isovalerate (3-Methylbutanoic acid),454,Eubacterium eligens,2,-0.00010137086639061545,713,7742
75,2081,Deoxycholic acid,133,Bacteroides stercoris,3,0.0003589919928524976,726,21111
76,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",161,Blautia hansenii (Ruminococcus hansenii),2,-0.0001876045092462641,745,8450
77,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",953,Roseburia inulinivorans,2,0.0022182765143756718,751,9060
78,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",338,Coprococcus comes,3,-0.00011848907291767129,759,24369
79,2011,4-Aminobutyrate (GABA),153,Bifidobacterium breve,2,-0.0004180388621106701,786,742
80,2240,"Valerate (Pentanoic acid, Pentanoate)",965,Ruminococcus flavefaciens,3,0.00031252936146097815,834,31598
81,2038,Butyrate,338,Coprococcus comes,2,0.004143764794167226,914,2553
82,2049,Cholic acid (Cholate),54,Alistipes putredinis,3,0.00269959056988267,953,19010
83,2212,Spermidine,119,Bacteroides caccae,2,-0.0008001573371471116,1005,13758
84,2132,L-Fucose,457,Eubacterium rectale,3,0.000532049394531553,1009,24305
85,2233,Trimethylamine,326,Clostridium symbiosum,2,-0.00011045615948956922,1039,15151
86,2233,Trimethylamine,952,Roseburia intestinalis,2,5.17402246678067e-05,1075,15179
87,2038,Butyrate,1064,Streptococcus salivarius,3,0.0007370947317074661,1095,18501
88,2081,Deoxycholic acid,964,Ruminococcus bromii,3,-0.0004035305061332872,1112,21157
89,2081,Deoxycholic acid,878,Prevotella salivae,3,0.0007356158171666347,1135,21152
90,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",135,Bacteroides uniformis,3,-7.913376624313351e-05,1180,24353
91,2236,Tyramine,551,Holdemania filiformis,2,-0.00027102056688455,1275,15384
92,2203,Putrescine,133,Bacteroides stercoris,2,-0.00052133617008987,1295,13119
93,2238,Urea,54,Alistipes putredinis,3,0.002511861182278863,1346,31394
94,2011,4-Aminobutyrate (GABA),608,Lactococcus lactis,3,-0.00020428109635783898,1349,16681
