,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2009,"3-phenylpropionic acid (Phenylpropanoate, 3-phenylpropionate)",455,Eubacterium hallii,2,0.003968594843725692,15,9250
1,2011,4-Aminobutyrate (GABA),457,Eubacterium rectale,2,0.04767166647396426,18,11417
2,2012,5-Aminovalerate,796,Odoribacter splanchnicus,2,0.019268620727982744,31,8009
3,2020,Adipate,461,Eubacterium ventriosum,2,0.009298771208823386,33,8070
4,2038,Butyrate,123,Bacteroides dorei,2,0.0028585005795745966,35,9518
5,2038,Butyrate,966,Ruminococcus gnavus,2,0.010713076488917728,45,8915
6,2040,Cadaverine,454,Eubacterium eligens,2,0.002845290207879936,53,10325
7,2049,Cholic acid (Cholate),464,Faecalibacterium prausnitzii,2,0.0005516932260033469,74,11507
8,2081,Deoxycholic acid,126,Bacteroides fragilis,2,0.00034134209268110727,85,5419
9,2125,"L-Alanine (D-Alanine, Alanine)",338,Coprococcus comes,2,0.008872616722338966,98,9615
10,2135,L-Glycine (Glycine),464,Faecalibacterium prausnitzii,2,0.004416850081441548,104,6180
11,2142,L-Leucine (Leucine),157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",2,0.030803355993547554,123,7945
12,2144,"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)",135,Bacteroides uniformis,2,0.00953108375687084,124,8220
13,2147,"L-Phenylalanine (Phenylalanine, D-Phenylalanine)",338,Coprococcus comes,2,0.0022816413804860325,126,9996
14,2147,"L-Phenylalanine (Phenylalanine, D-Phenylalanine)",796,Odoribacter splanchnicus,2,0.006354611482403794,134,10242
15,2147,"L-Phenylalanine (Phenylalanine, D-Phenylalanine)",969,Ruminococcus torques,2,0.0011511208226812064,164,6923
16,2151,"L-Serine (Serine, D-Serine)",953,Roseburia inulinivorans,2,0.0029943852066405263,178,9010
17,2153,L-Threonine (Threonine),137,Bacteroides xylanisolvens,2,0.0017810110596082618,201,9257
18,2155,L-Tyrosine (Tyrosine),54,Alistipes putredinis,2,0.003296208843979964,231,10361
19,2156,"L-Valine (Valine, D-Valine)",55,Alistipes shahii,2,0.008167385104878244,253,8411
20,2198,Pimelate,119,Bacteroides caccae,2,0.00013343218935946144,282,4728
21,2201,Propanoate (Propionate),122,Bacteroides coprophilus,2,0.00011990701847675034,300,10083
22,2203,Putrescine,158,Bifidobacterium pseudocatenulatum,2,0.0008173497691026377,312,3047
23,2204,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",551,Holdemania filiformis,2,0.006653906836635692,321,6374
24,2226,"Thiamine (Vitamin B1, Thiamin)",119,Bacteroides caccae,2,0.0033813370240853846,340,5916
25,2233,Trimethylamine,123,Bacteroides dorei,2,0.0017702109208851402,361,7964
26,2236,Tyramine,149,Bifidobacterium adolescentis,2,0.001590301347191736,362,8157
27,2236,Tyramine,969,Ruminococcus torques,2,0.00892109557782017,374,11546
28,2238,Urea,119,Bacteroides caccae,2,0.0008234368604478348,380,3434
29,2238,Urea,420,Dorea formicigenerans,2,0.004474829629902866,389,9015
30,2238,Urea,461,Eubacterium ventriosum,2,0.00029147039197674474,404,11568
31,2239,Uridine,124,Bacteroides eggerthii,2,5.491890930331422e-05,482,3746
32,2240,"Valerate (Pentanoic acid, Pentanoate)",484,Fusobacterium varium,2,9.50914432158445e-05,508,8596
33,2009,"3-phenylpropionic acid (Phenylpropanoate, 3-phenylpropionate)",126,Bacteroides fragilis,3,0.005436916003409342,518,9501
34,2010,"4-Aminobenzoate (para-amino, Benzoic acid)",420,Dorea formicigenerans,3,0.002299211629885556,569,3618
35,2011,4-Aminobutyrate (GABA),135,Bacteroides uniformis,3,0.0015089791877089809,610,7315
36,2012,5-Aminovalerate,131,Bacteroides plebeius,3,0.0011016531409142605,614,257
37,2012,5-Aminovalerate,953,Roseburia inulinivorans,3,0.0003289309146314867,642,6782
38,2012,5-Aminovalerate,1064,Streptococcus salivarius,3,5.7514584455353734e-05,660,5046
39,2020,Adipate,454,Eubacterium eligens,3,0.004713669537638188,664,8031
40,2020,Adipate,461,Eubacterium ventriosum,3,0.00047258666257499193,696,11616
41,2032,beta-alanine (3-Aminopropionate),119,Bacteroides caccae,3,7.527468934398485e-06,706,5580
42,2040,Cadaverine,338,Coprococcus comes,3,0.0023857916200409335,713,9687
43,2049,Cholic acid (Cholate),131,Bacteroides plebeius,3,0.0027734540151643783,714,11052
44,2050,Choline,125,Bacteroides finegoldii (Alistipes finegoldii),3,0.0006534921623883028,773,9763
45,2053,Citrate,125,Bacteroides finegoldii (Alistipes finegoldii),3,0.00029874852401567953,818,6012
46,2053,Citrate,608,Lactococcus lactis,3,0.003263097338405796,852,8628
47,2067,D-Glucosamine (Glucosamine),129,Bacteroides ovatus,3,0.0008928083594647029,862,111
48,2067,D-Glucosamine (Glucosamine),461,Eubacterium ventriosum,3,0.0002301470606300704,931,8268
49,2122,Isovalerate (3-Methylbutanoic acid),159,Bilophila wadsworthia,3,0.00015151419558645518,933,6189
50,2122,Isovalerate (3-Methylbutanoic acid),464,Faecalibacterium prausnitzii,3,0.001096436201742268,1004,783
51,2125,"L-Alanine (D-Alanine, Alanine)",135,Bacteroides uniformis,3,0.0004316697807067449,1007,6961
52,2125,"L-Alanine (D-Alanine, Alanine)",159,Bilophila wadsworthia,3,0.0005107407191826674,1046,6657
53,2125,"L-Alanine (D-Alanine, Alanine)",455,Eubacterium hallii,3,0.006207845107141119,1050,9377
54,2127,L-Arginine (Arginine),55,Alistipes shahii,3,0.00019725626909639082,1052,8246
55,2127,L-Arginine (Arginine),119,Bacteroides caccae,3,0.0002993172898052565,1060,11611
56,2128,L-Asparagine (Asparagine),134,Bacteroides thetaiotaomicron,3,0.0006076674030842666,1075,11022
57,2128,L-Asparagine (Asparagine),152,Bifidobacterium bifidum,3,0.0011255961823890548,1165,5465
58,2129,"L-Aspartate (Aspartate, D-Aspartate)",54,Alistipes putredinis,3,0.002965873766461069,1177,10393
59,2129,"L-Aspartate (Aspartate, D-Aspartate)",126,Bacteroides fragilis,3,0.0003333649604196909,1219,6379
